,Carbohydrate,Energy,Fat,Fibre,Of which Saturates,Of which Sugars,Protein,Salt,product_name,Calcium,Iron,Magnesium,Of which Polyunsaturated,Omega 3,Potassium,Zinc,Selenium,Vitamin E,Polyunsaturates,Sodium,Vitamin D,Vitamin C,Riboflavin,Vitamin B12,Cholesterol,Of which Trans
0,"6,3g",35kcal,"0,1g","1,1g","0,0g","4,4g","1,2g","0,35g",Cirio Passata,,,,,,,,,,,,,,,,,
1,3.8g,23kcal,<0.5g,0.6g,0.0g,3.4g,1.2g,0.03g,Duchy Organic Plum Tomatoes In Natural Juice,,,,,,,,,,,,,,,,,
2,7.8g,49kcal,0.9g,,0.2g,6.1g,1.7g,0.44g,Mutti Passata Gastronomia Baby Roma Tomatoes,,,,,,,,,,,,,,,,,
3,3.8g,24kcal,<0.5g,1.5g,0.0g,3.5g,1.1g,0.03g,Waitrose Peeled Italian Cherry Tomatoes,,,,,,,,,,,,,,,,,
4,"3,6g",-22kcal,0g,,0g,"2,9g","1,1g","0,1g",Mutti Cherry Tomatoes,,,,,,,,,,,,,,,,,
5,3.8g,23kcal,<0.5g,0.6g,0.0g,3.4g,1.2g,0.0g,Essential Plum Tomatoes in Natural Juice,,,,,,,,,,,,,,,,,
6,,,,,,,,,Bomba! Tomato Purée,,,,,,,,,,,,,,,,,
7,4.9g,28kcal,<0.5g,1.0g,0.0g,4.3g,1.4g,0.03g,Waitrose Duchy Passata,,,,,,,,,,,,,,,,,
8,"3,6g",22kcal,"<0,5g",,"<0,1g","2,9g","1,1g","0,01g",Mutti San Marzano Tomatoes,,,,,,,,,,,,,,,,,
9,3.8g,23kcal,<0.5g,0.6g,0.0g,3.4g,1.2g,0.0g,Essential Plum Tomatoes in Natural Juice,,,,,,,,,,,,,,,,,
10,"4,2g",27kcal,"0,2g","1,1g","0,1g","3,8g","1,1g","0,02g",Cirio Pelati Peeled Plum Tomatoes,,,,,,,,,,,,,,,,,
11,7.6g,51kcal,1.2g,,0.2g,6.4g,1.6g,0.50g,Mutti Passata Gastronomia with Cherry Tomatoes,,,,,,,,,,,,,,,,,
12,3.3g,27kcal,0.9g,1.3g,0.0g,2.9g,0.8g,0.40g,"Waitrose chopped tomatoes, olive oil & garlic",,,,,,,,,,,,,,,,,
13,4.9g,28kcal,<0.5g,1.4g,0.0g,4.2g,1.1g,0.01g,Waitrose chopped tomatoes with chopped basil,,,,,,,,,,,,,,,,,
14,"3,6g",-22kcal,0g,,0g,"2,9g","1,1g","0,1g",Mutti Peeled Tomatoes,,,,,,,,,,,,,,,,,
15,3.9g,26kcal,0.2g,,<0.1g,2.8g,1.2g,0.30g,Mutti Finely Chopped Tomatoes,,,,,,,,,,,,,,,,,
16,3.5g,21kcal,<0.5g,1.3g,0.0g,3.0g,0.8g,0.0g,Waitrose chopped tomatoes with chopped herbs,,,,,,,,,,,,,,,,,
17,4.2g,22kcal,0.1g,0.4g,0.0g,3.6g,0.8g,0.03g,Mr Organic Italian Organic Chopped Tomatoes,,,,,,,,,,,,,,,,,
18,5.0g,86kcal,6.2g,2.3g,1.1g,3.8g,1.5g,0.70g,Cooks' Ingredients soffritto passata,,,,,,,,,,,,,,,,,
19,"4,7g",29kcal,"0,1g","1,4g","0,0g","3,9g","1,3g","0,69g",Cirio Tuscan Chopped Tomatoes,,,,,,,,,,,,,,,,,
20,4.9g,28kcal,<0.5g,0.9g,0.0g,4.1g,1.4g,0.03g,Waitrose passata with chopped basil,,,,,,,,,,,,,,,,,
21,5.9g,34kcal,<0.5g,1.3g,0.0g,5.1g,1.5g,0.01g,Waitrose passata with onion & garlic,,,,,,,,,,,,,,,,,
22,"4,9g",28kcal,"0,0g","1,2g","0,0g","3,7g","1,1g","0,30g",Cirio Polpa Fine Finely Chopped Tomatoes,,,,,,,,,,,,,,,,,
23,"4,2g",27kcal,"0,2g","1,1g","0,1g","3,8g","1,1g","0,02g",Cirio peeled plum tomatoes,,,,,,,,,,,,,,,,,
24,13.5g,163kcal,8.3g,6.3g,1.4g,9.3g,8.3g,3.6g,Taste #5 Original Tomato Umami Paste,,,,,,,,,,,,,,,,,
25,3.4g,-28kcal,0.5g,,0g,1.4g,1.6g,11.1g,Gia chilli puree,,,,,,,,,,,,,,,,,
26,11.6g,81kcal,1.9g,2.9g,0.4g,6.7g,2.8g,0.0g,Essential Sweetcorn,,,,,,,,,,,,,,,,,
27,4.9g,19kcal,0g,1.5g,0g,0.6g,0g,0g,Kingfisher sliced water chestnuts in water,,,,,,,,,,,,,,,,,
28,11.5g,73kcal,0.3g,2.9g,0.1g,1.8g,4.6g,0.52g,Harry Ramsden's Mushy Peas,,,,,,,,,,,,,,,,,
29,0.7g,13kcal,0g,1.4g,0g,0.7g,1.5g,0g,Kingfisher bamboo shoots in water,,,,,,,,,,,,,,,,,
30,11.6g,81kcal,1.9g,2.9g,0.4g,6.8g,2.8g,0.0g,Essential Sweetcorn,,,,,,,,,,,,,,,,,
31,3.2g,24kcal,0g,1.2g,0g,1.1g,1.9g,0g,Kingfisher beansprouts in water,,,,,,,,,,,,,,,,,
32,14.9g,106kcal,0.6g,6.2g,0.1g,1.2g,7.2g,0.47g,Farrow's giant marrowfat processed peas,,,,,,,,,,,,,,,,,
33,11.8g,77kcal,1.7g,2.5g,0.4g,7.4g,2.4g,0.40g,Green Giant original sweetcorn,,,,,,,,,,,,,,,,,
34,13.4g,99kcal,0.6g,5.6g,0.1g,0.5g,7.2g,0.33g,Essential Marrowfat Peas,,,,,,,,,,,,,,,,,
35,6.1g,58kcal,0.6g,5.2g,0.1g,1.4g,4.5g,0.01g,Essential Garden Peas in Water,,,,,,,,,,,,,,,,,
36,0.5g,20kcal,<0.5g,2.7g,0.1g,<0.5g,2.4g,0.07g,Essential Chopped Mushrooms in Water,,,,,,,,,,,,,,,,,
37,4.1g,34kcal,<0.5g,3.4g,0.1g,<0.5g,1.9g,0.10g,Essential Artichoke Hearts in Water,,,,,,,,,,,,,,,,,
38,2.6g,18kcal,<0.5g,2.1g,0.0g,1.3g,<0.5g,0.05g,Essential Baby Carrots in Water,,,,,,,,,,,,,,,,,
39,5.4g,49kcal,0.5g,5.2g,0.1g,1.8g,3.0g,0.08g,Essential Petits Pois with Baby Carrots,,,,,,,,,,,,,,,,,
40,11.8g,77kcal,1.7g,2.5g,0.4g,7.4g,2.4g,0.00g,Green Giant no added salt sweetcorn,,,,,,,,,,,,,,,,,
41,19.5g,86kcal,0.2g,6.0g,0.0g,0.0g,1.5g,0.84g,Biona Jackfruit Pieces in Salted Water,,,,,,,,,,,,,,,,,
42,13.0g,113kcal,1.1g,8.9g,0.2g,<0.5g,8.2g,0.03g,Waitrose LOVE life Yellow Split Peas,,,,,,,,,,,,,,,,,
43,9.5g,78kcal,0.6g,6.1g,0.0g,1.4g,5.5g,0.10g,Essential Petits Pois in Water,,,,,,,,,,,,,,,,,
44,11.8g,77kcal,1.7g,2.5g,0.4g,7.4g,2.4g,0.40g,Green Giant original sweetcorn,,,,,,,,,,,,,,,,,
45,3.5g,21kcal,<0.5g,1.9g,0.0g,2.7g,0.5g,0.03g,essential Waitrose canned sliced carrots in water,,,,,,,,,,,,,,,,,
46,11.8g,77kcal,1.7g,2.5g,0.4g,7.4g,2.4g,0.40g,Green Giant sweetcorn,,,,,,,,,,,,,,,,,
47,10.6g,55kcal,0.5g,1.7g,0.1g,<0.5g,1.2g,0.08g,Essential Waitrose Small Potatoes in Water,,,,,,,,,,,,,,,,,
48,11.8g,77kcal,1.7g,2.5g,0.4g,7.4g,2.4g,0.00g,Green Giant sweetcorn,,,,,,,,,,,,,,,,,
49,9.5g,78kcal,0.6g,6.1g,0.0g,1.4g,5.5g,0.03g,Essential Petits Pois in Water,,,,,,,,,,,,,,,,,
50,1.7g,20kcal,0.1g,3.6g,<0.1g,0.4g,1.3g,0.03g,Essential Cut Green Beans in Water,,,,,,,,,,,,,,,,,
51,11.8g,77kcal,1.7g,2.5g,0.4g,7.4g,2.4g,0.00g,Green Giant no added salt sweetcorn,,,,,,,,,,,,,,,,,
52,11g,48kcal,0g,4g,0g,5g,1g,0.64g,Biona Organic Jackfruit Sweet & Smoky,,,,,,,,,,,,,,,,,
53,12.4g,58kcal,<0.5g,1.1g,0.1g,<0.5g,1.2g,0.21g,Smash The Original Instant Mashed Potato,,,,,,,,,,,,,,,,,
54,2.9g,27kcal,0.1g,2.4g,0.0g,1.1g,2.4g,0.83g,Green Giant hearts of palm whole,,,,,,,,,,,,,,,,,
55,13.4g,80kcal,2.0g,,1.4g,2.2g,1.6g,0.58g,Idahoan Perfect Mash Butter & Herb,,,,,,,,,,,,,,,,,
56,5.9g,37kcal,<0.5,,<0.1g,5.2g,1.7g,0.53g,Mutti Pizza Sauce Classica,,,,,,,,,,,,,,,,,
57,15.9g,97kcal,0.7g,1.7g,0.1g,0.5g,6.0g,0.50g,Foresight pease pudding,,,,,,,,,,,,,,,,,
58,16.4g,104kcal,3.2g,5.8g,0.4g,2.4g,5.4g,0.5g,Geo Organics chick pea & lentil dahl,,,,,,,,,,,,,,,,,
59,19.9g,141kcal,4.3g,3.7g,0.5g,1.2g,3.7g,0.8g,Jamie Oliver Indian-Spiced Veg Quinoa & Rice,,,,,,,,,,,,,,,,,
60,8.8g,45kcal,0.2g,1.4g,Trace,4.7g,1.4g,Trace,Great Scot dried onions,,,,,,,,,,,,,,,,,
61,5.9g,38kcal,<0.5g,5.0g,<0.1g,0.0g,0.9g,0.01g,Cooks' Ingredients Jack Fruit Pieces in Water,,,,,,,,,,,,,,,,,
62,1.6g,31kcal,0g,2.9g,0g,0g,3.6g,0.03g,Epicure Leaf Spinach,,,,,,,,,,,,,,,,,
63,12.4g,58kcal,<0.5g,1.1g,0.1g,<0.5g,1.2g,0.21g,Smash instant mashed potato,,,,,,,,,,,,,,,,,
64,,,,,,,,,Porter Foods whole chestnuts,,,,,,,,,,,,,,,,,
65,12.0g,68kcal,1.7g,2.8g,0.3g,5.5g,2.6g,0.26g,La Doria Sweetcorn in Salted Water,,,,,,,,,,,,,,,,,
66,11.8g,77kcal,1.7g,2.5g,0.4g,7.4g,2.4g,0.00g,Green Giant no added salt sweetcorn,,,,,,,,,,,,,,,,,
67,9.0g,81kcal,4.3g,,0.4g,0g,2.0g,1.5g,Soul Punjabi Choley,,,,,,,,,,,,,,,,,
68,10.9g,76kcal,1.7g,3.1g,0.3g,5.2g,2.8g,0.40g,La Doria Sweetcorn in Salted Water,,,,,,,,,,,,,,,,,
69,6.2g,42kcal,0.7g,2.7g,0.1g,3.3g,1.2g,1.3g,Biona Organic Jackfruit Stew,,,,,,,,,,,,,,,,,
70,18.1g,143kcal,1.7g,6.6g,0.3g,0.7g,10.6g,0.03g,Merchant Gourmet puy lentils,,,,,,,,,,,,,,,,,
71,16.5g,122kcal,1.4g,6.1g,0.2g,0.5g,7.7g,0.03g,Essential Chick Peas in Water,,,,,,,,,,,,,,,,,
72,14.6g,111kcal,0.7g,7.5g,0.1g,<0.5g,7.7g,0.03g,Essential Red Kidney Beans in Water,,,,,,,,,,,,,,,,,
73,12.3g,97kcal,0.5g,6.4g,0.1g,0.5g,7.7g,0.03g,Essential Butter Beans in Water,,,,,,,,,,,,,,,,,
74,13.3g,101kcal,0.6g,6.4g,0.1g,<0.5g,7.5g,0.03g,Essential Cannellini Beans in Water,,,,,,,,,,,,,,,,,
75,14.0g,130kcal,4.1g,6.0g,0.5g,2.9g,6.3g,1.3g,Merchant Gourmet French Tomatoey Puy & Green Lentils,,,,,,,,,,,,,,,,,
76,14.1g,94kcal,0.8g,4.6g,0.1g,5.0g,5.4g,0.57g,Essential Red Kidney Beans in Chilli Sauce,,,,,,,,,,,,,,,,,
77,13g,101kcal,0.7g,6.9g,0g,0g,7.2g,0.27g,Epicure Black Beans,,,,,,,,,,,,,,,,,
78,25.2g,163kcal,2.0g,6.9g,0.3g,3.0g,7.6g,0.05g,Biona Organic Black Chick Peas,,,,,,,,,,,,,,,,,
79,15.5g,124kcal,2.6g,6.7g,0.6g,<0.5g,6.2g,0.03g,Duchy Organic Chick Peas In Water,,,,,,,,,,,,,,,,,
80,12.9g,97kcal,0.8g,6.2g,0.1g,<0.5g,6.5g,0.03g,Essential Mixed Bean Salad in Water,,,,,,,,,,,,,,,,,
81,10.9g,82kcal,0.6g,4.4g,0.1g,<0.5g,6.1g,0.03g,Essential Lentils in Water,,,,,,,,,,,,,,,,,
82,12.9g,100kcal,0.6g,7.7g,0.1g,0.6g,6.9g,0.03g,Essential Borlotti Beans,,,,,,,,,,,,,,,,,
83,14.6g,111kcal,0.7g,7.5g,0.1g,<0.5g,7.7g,0.03g,Essential Red Kidney Beans in Water,,,,,,,,,,,,,,,,,
84,29g,185kcal,4.2g,4.0g,0.5g,1.5g,6.1g,0.18g,Merchant Gourmet red & white quinoa,,,,,,,,,,,,,,,,,
85,13.0g,90kcal,0.5g,7.4g,0.1g,3.4g,6.0g,0.9g,Biona Organic Chilli Black Beans,,,,,,,,,,,,,,,,,
86,8.3g,109kcal,0.9g,15.0g,0.1g,0.9g,9.4g,0.03g,Waitrose Duchy Green Lentils,,,,,,,,,,,,,,,,,
87,12.8g,104kcal,0.6g,7.8g,<0.1g,0.5g,8.1g,0.03g,Duchy Organic Red Kidney Beans,,,,,,,,,,,,,,,,,
88,7.4g,102kcal,0.9g,14.4g,0.1g,<0.5g,8.9g,0.03g,Waitrose LOVE life Red Split Lentils,,,,,,,,,,,,,,,,,
89,11.8g,77kcal,<0.5g,3.7g,0.0g,<0.5g,5.3g,0.10g,Essential Flageolet Beans in Water,,,,,,,,,,,,,,,,,
90,7.4g,102kcal,0.9g,14.4g,0.1g,<0.5g,8.9g,0.03g,Waitrose Duchy Red Split Lentils,,,,,,,,,,,,,,,,,
91,27.1g,143kcal,0.9g,4.0g,0.2g,0.9g,4.6g,0.03g,Waitrose LOVE life Pearl Barley,,,,,,,,,,,,,,,,,
92,28.6g,176kcal,2.8g,4.9g,0.8g,4.6g,6.7g,0.55g,Merchant Gourmet Persian-Style Quinoa & Lentils,,,,,,,,,,,,,,,,,
93,7.4g,102kcal,0.9g,14.4g,0.1g,<0.5g,8.9g,0.03g,Waitrose LOVE life red split lentils,,,,,,,,,,,,,,,,,
94,3.0g,508kcal,40g,24g,4.5g,1.8g,22g,0.1g,Linwoods Flaxseed,170mg,7.1mg,380mg,25g,19g,720mg,5.5mg,,,,,,,,,,
95,11g,90kcal,0.6g,7.5g,0g,0g,6.4g,0.05g,Epicure Haricot Beans,,,,,,,,,,,,,,,,,
96,11.7g,84kcal,0.9g,4.7g,0.4g,2.8g,5.0g,0.38g,Essential Mixed Beans in a Spicy Tomato Sauce,,,,,,,,,,,,,,,,,
97,31.5g,,3.2g,4.2g,0.5g,0.6g,6.0g,0.03g,Merchant Gourmet Glorious Grains with Red Rice & Quinoa,,,,,,,,,,,,,,,,,
98,14g,99kcal,0.5g,6.8g,0g,0g,6.3g,0.04g,Epicure Butter Beans in Water,,,,,,,,,,,,,,,,,
99,26.2g,145kcal,2.0g,1.4g,0.9g,1.7g,4.8g,0.57g,Waitrose lemon & garlic couscous,,,,,,,,,,,,,,,,,
100,3.7g,98kcal,0.8g,19.1g,0.1g,<0.5g,9.5g,0.03g,Waitrose LOVE life Lentils,,,,,,,,,,,,,,,,,
101,28.7g,157kcal,1.3g,3.3g,0.3g,1.8g,5.9g,0.03g,Waitrose LoveLife Wholewheat Couscous,,,,,,,,,,,,,,,,,
102,18.5g,146kcal,1.6g,6.4g,0.3g,0.7g,11.1g,0.03g,Merchant Gourmet Beluga Lentils,,,,,,,,,,,,,,,,,
103,"77,4g",355kcal,"1,2g",,"0,33g","0,39g","7,2g",0g,Polenta valsugana,,,,,,,,,,,,,,,,,
104,8.0g,80kcal,0g,8.4g,0g,0g,7.0g,0.07g,Epicure Organic Cannellini Beans,,,,,,,,,,,,,,,,,
105,8.5g,75kcal,0g,6.7g,0g,0g,6.1g,0.10g,Epicure bijoux verts lentils,,,,,,,,,,,,,,,,,
106,6.3g,46kcal,1.3g,,0.1g,4.7g,1.7g,0.96g,Epicure Ratatouille Niçoise,,,,,,,,,,,,,,,,,
107,23.8g,170kcal,5.8g,3.4g,0.9g,1.0g,4.2g,0.5g,Jamie Oliver Super Tomato & Olive Quinoa,,,,,,,,,,,,,,,,,
108,16.7g,106kcal,<0.5g,3.8g,0.1g,<0.5g,6.9g,0.03g,Essential Blackeye Beans in Water,,,,,,,,,,,,,,,,,
109,8.3g,109kcal,0.9g,15.0g,0.1g,0.9g,9.4g,0.03g,Waitrose LOVE life Green Lentils,,,,,,,,,,,,,,,,,
110,5.6g,559kcal,47g,18g,6.1g,2.8g,20g,0.06g,Linwoods Flaxseed Almonds Brazil & Q10,230mg,5.9mg,330mg,27g,15g,650mg,4.4mg,91µg,,,,,,,,,
111,9.0g,110kcal,1.2g,13.8g,0.3g,<0.5g,9.0g,0.03g,Waitrose LOVE life 10 bean mix,,,,,,,,,,,,,,,,,
112,8.2g,136kcal,3.5g,18.0g,0.5g,<0.5g,8.9g,0.03g,Waitrose LOVE life Chick Peas,,,,,,,,,,,,,,,,,
113,15.6g,135kcal,4.3g,4.5g,0.4g,0.8g,6.1g,0.4g,Jamie Oliver Incredible Curried Chickpeas,,,,,,,,,,,,,,,,,
114,13g,130kcal,4.9g,3.9g,1.1g,1.5g,6.8g,0.73g,Jamie Oliver Ultimate Black Daal,,,,,,,,,,,,,,,,,
115,13.9g,109kcal,1.0g,9.5g,0.2g,0.2g,6.5g,0.03g,Waitrose Soup Mix,,,,,,,,,,,,,,,,,
116,16.8g,132kcal,1.4g,7.4g,0.2g,0.8g,9.3g,0.03g,Merchant Gourmet Puglia Lentils,,2.6mg,,,,,,,,,,,,,,,
117,32.4g,199kcal,4.2g,5.0g,0.7g,2.5g,5.6g,0.5g,Jamie Oliver Sensational Sweet Chilli Spelt,,,,,,,,,,,,,,,,,
118,12.2g,86kcal,0.5g,5.5g,0.0g,0.5g,5.3g,1.20g,Old El Paso mild refried beans,,,,,,,,,,,,,,,,,
119,31.4g,157kcal,0.8g,1.7g,0.2g,0.6g,5.1g,0.03g,Waitrose Duchy Couscous,,,,,,,,,,,,,,,,,
120,1.7g,532kcal,43.1g,22.8g,3.4g,1.6g,23.0g,0.07g,Waitrose LoveLife golden linseed,,,,31.5g,,,,,,,,,,,,,
121,17.8g,104kcal,0.5g,4.3g,0.1g,2.8g,5.4g,0.67g,Capsicana Refried Black Beans,,,,,,,,,,,,,,,,,
122,25.8g,181kcal,5.1g,3.4g,0.8g,0.6g,6.1g,0.90g,Merchant Gourmet Italian-Infused Grains,,,,,,,,,,,,,,,,,
123,47.6g,325kcal,1.5g,15.5g,0.2g,2.9g,21.8g,0.02g,Merchant Gourmet puy lentils,,,,,,,,,,,,,,,,,
124,8.6g,72kcal,1.3g,4.5g,0.1g,0.0g,4.3g,0.05g,Mr Organic Organic Chickpeas,,,,,,,,,,,,,,,,,
125,6.1g,111kcal,1.4g,18.8g,0.2g,<0.5g,9.2g,0.03g,Waitrose Black Turtle Beans,,,,,,,,,,,,,,,,,
126,14.6g,90kcal,0.5g,4.6g,0.0g,0.6g,6.7g,0.36g,Biona Organic Lentils Green,,,,,,,,,,,,,,,,,
127,9.0g,112kcal,0.9g,15.5g,0.2g,<0.5g,9.3g,0.03g,Waitrose Red Kidney Beans,,,,,,,,,,,,,,,,,
128,10g,83kcal,0.6g,6.3g,0g,0g,6.2g,0.05g,Epicure borlotti beans,,,,,,,,,,,,,,,,,
129,25.5g,144kcal,2.2g,1.8g,1.1g,2.7g,4.7g,0.57g,Waitrose garlic & coriander couscous,,,,,,,,,,,,,,,,,
130,2.6g,21kcal,0g,2.6g,0g,1.8g,2.0g,0.70g,Epicure Asparagus Spears,,,,,,,,,,,,,,,,,
131,26.3g,146kcal,2.1g,0.7g,0.8g,3.1g,5.0g,0.61g,Waitrose tomato & onion couscous,,,,,,,,,,,,,,,,,
132,6.4g,116kcal,1.3g,19.1g,0.3g,<0.5g,10.2g,0.04g,Waitrose Haricot Beans,,,,,,,,,,,,,,,,,
133,8.0g,540kcal,43g,17g,6.1g,6.1g,22g,0.12g,Linwoods Flax & Goji Berries,150mg,5.7mg,280mg,26g,10g,670mg,5.1mg,,8.0mg,,,,,,,,
134,13g,88kcal,0g,4.6g,0g,0g,5.9g,0.03g,Epicure Aduki Beans,,,,,,,,,,,,,,,,,
135,20g,110kcal,0.5g,,0g,1g,7g,0.725g,Gran Luchito Refried Beans,,,,,,,,,,,,,,,,,
136,7.7g,114kcal,1.0g,18.9g,0.2g,<0.5g,9.0g,0.03g,Waitrose Borlotti Beans,,,,,,,,,,,,,,,,,
137,30.9g,160kcal,1.2g,3.3g,0.3g,<0.5g,4.8g,0.04g,Waitrose LoveLife Quick Cook Italian Spelt,,,,,,,,,,,,,,,,,
138,19.9g,143kcal,1.8g,6.7g,0.3g,1.3g,8.4g,0.03g,Waitrose LOVE life puy lentils,,,,,,,,,,,,,,,,,
139,68.4g,350kcal,1.8g,6g,0.5g,1.4g,12g,0.02g,Sharpham Park Pearled Spelt,,,,,,,,,,,,,,,,,
140,15.6g,103kcal,0.4g,3.4g,0.1g,0.8g,7.4g,0g,Geo Organics Black Beluga Lentils in Water,,,,,,,,,,,,,,,,,
141,21.5g,120kcal,1.5g,3.2g,0.2g,1.2g,3.6g,0.03g,Waitrose LOVE life Bulgur Wheat with White & Red Quinoa,,,,,,,,,,,,,,,,,
142,5.7g,104kcal,0.8g,19.6g,0.2g,<0.5g,8.7g,0.03g,Waitrose Pinto Beans,,,,,,,,,,,,,,,,,
143,32.2g,166kcal,1.2g,3.6g,0.3g,<0.5g,4.8g,0.01g,Waitrose LOVE Life Quick Cook Italian 5 Grains,,,,,,,,,,,,,,,,,
144,27.4g,172kcal,3.2g,4.7g,0.5g,0.9g,6.0g,0.03g,"Waitrose LOVE life spelt, quinoa, red rice & wild rice",,,,,,,,,,,,,,,,,
145,21.7g,169kcal,5.2g,6.6g,0.7g,1.9g,5.5g,0.3g,Jamie Oliver Mouthwatering Moroccan Salad,,,,,,,,,,,,,,,,,
146,26.2g,142kcal,0.8g,4.3g,0.2g,<0.5g,5.3g,0.10g,Waitrose LOVE life quick cook barley mix,,,,,,,,,,,,,,,,,
147,12.4g,74kcal,0.8g,2.3g,0.1g,3.3g,4.5g,0.5g,Heinz Creationz Lentil Curry Beanz,,,,,,,,,,,,,,,,,
148,12.0g,98kcal,2.0g,3.6g,0.3g,1.3g,6.2g,0.7g,Jamie Oliver Lovely Lentils,,,,,,,,,,,,,,,,,
149,18.6g,101kcal,0.7g,4.7g,0.1g,4.5g,5.2g,0.4g,Heinz Creationz Spanish Beanz,,,,,,,,,,,,,,,,,
150,22.8g,137kcal,1.0g,6.4g,0.2g,<0.5g,6.1g,0.30g,Waitrose LOVE Life Quick Cook Minestrone,,,,,,,,,,,,,,,,,
151,18g,102kcal,1.3g,5.1g,0.3g,0.6g,6.4g,0.62g,Epicure Mediterranean Bean Mix,,,,,,,,,,,,,,,,,
152,22g,544kcal,39g,13g,4.3g,14g,21g,0.05g,Linwoods Clusters Flaxseed Cranberries,,5.1mg,309mg,22g,24g,,4.6mg,,,,,,,,,,
153,16g,120kcal,1.0g,7.1g,0.2g,0.9g,8.3g,0.62g,Epicure Rustic Six Bean Mix in Olive Oil,,,,,,,,,,,,,,,,,
154,18g,115kcal,1.3g,3.0g,0.3g,0.5g,6.2g,0.51g,Epicure Tuscan Bean Mix with Pearl Barley,,,,,,,,,,,,,,,,,
155,17.1g,108kcal,1.9g,4.4g,0.7g,3.9g,5.8g,0.5g,Heinz Creationz Mexican Beanz,,,,,,,,,,,,,,,,,
156,4.9g,120kcal,5.2g,5.2g,0.6g,2.2g,10.9g,0.0g,Geo Edamame Beans in Water,,,,,,,,,,,,,,,,,
157,13.8g,95kcal,1.9g,1.9g,0.3g,2g,4.7g,1.3g,Biona Organic Brown Lentil Curry,,,,,,,,,,,,,,,,,
158,0.0g,167kcal,5.5g,,,,29.0g,1.0g,John West No Drain Tuna Steak in Olive Oil,,,,,,,,,,,,,,,,,
159,0.5g,300kcal,23.0g,0.0g,4.0g,0.0g,22.8g,0.71g,Essential Sardines in Olive Oil,,,,,2000mg,,,,,,,,,,,,
160,0.0g,126kcal,1.0g,,,0.0g,29.0g,0.9g,John West No Drain Tuna Steak in Spring Water,,,,,,,,,,,,,,,,,
161,0.0g,108kcal,0.9g,0.0g,0.2g,0.0g,25.0g,0.41g,Essential MSC Tuna Chunks in Spring Water,,,,,,,,,,,,,,,,,
162,0.0g,185kcal,10.0g,<0.5g,2.1g,0.0g,23.7g,15.00g,Waitrose Anchovy Fillets in Extra Virgin Olive Oil,,,,,,,,,,,,,,,,,
163,0g,151kcal,7.8g,,1.6g,0g,20.4g,0.9g,John West Wild Pacific Red Salmon,,,,1.8g,,,,,,,,,,,,,
164,0.0g,153kcal,6.6g,0.0g,1.8g,0.0g,23.5g,0.90g,Essential Wild Red Salmon,,,,2.0g,,,,,,,,,,,,,
