,Carbohydrate,Energy,Fat,Fibre,Of which Saturates,Of which Sugars,Protein,Salt,product_name,Calcium,Iron,Magnesium,Of which Polyunsaturated,Omega 3,Potassium,Zinc,Selenium,Vitamin E,Polyunsaturates,Sodium,Vitamin D,Vitamin C,Riboflavin,Vitamin B12,Cholesterol,Of which Trans
165,0.0g,176kcal,9.2g,0.0g,1.1g,0.0g,23.2g,0.88g,Essential Tuna Chunks in Sunflower Oil,,,,,,,,,,,,,,,,,
166,0.0g,167kcal,5.5g,,,,29.0g,1.0g,John West Tuna Steak in Sunflower Oil Fridge,,,,,,,,,,,,,,,,,
167,0.6g,197kcal,11.3g,0.0g,4.2g,0.0g,23.3g,0.46g,Essential Sardines in Water,,,,,2000mg,,,,,,,,,,,,
168,3.6g,132kcal,6.9g,1.1g,2.5g,1.6g,13.2g,1.0g,Glenryck pilchards in tomato sauce,,,,2.3g,2.1g,,,,,,,,,,,,
169,0.0g,118kcal,1.1g,0.0g,0.4g,0.0g,27.1g,0.63g,Waitrose MSC Tuna Steak in Spring Water,,,,,,,,,,,,,,,,,
170,0.0g,209kcal,12.3g,0.0g,2.0g,0.0g,24.5g,0.63g,Waitrose MSC Tuna Steak in Olive Oil,,,,,,,,,,,,,,,,,
171,0.0g,113kcal,0.8g,,,,26.6g,1.0g,John West MSC No Drain Tuna Steak in Spring Water,,,,,,,,,,,,,,,,,
172,1.5g,164kcal,7.5,Trace,1.9g,1.5g,17.0g,1.7g,John West Boneless Sardines in Tomato Sauce,,,,,,,,,,2.4,0.7g,,,,,,
173,0g,258kcal,18g,,3g,0g,24g,0.9g,Ortiz White Tuna in Olive Oil,,,,,,,,,,,,,,,,,
174,0.0g,126kcal,1.0g,,,,29.0g,1.0g,John West Tuna Steak in Brine Fridge Pots,,,,,,,,,,,,,,,,,
175,0g,229kcal,15g,,3.5g,0g,23.5g,1.0g,Parmentier Sardines in Extra Virgin Olive Oil,,,,,,,,,,,,,,,,,
176,0.0g,185kcal,10.0g,<0.5g,2.1g,0.0g,23.7g,15.00g,Waitrose Anchovy Fillets in Extra Virigin Olive Oil,,,,,,,,,,,,,,,,,
177,0.0g,113kcal,0.5g,,,,27.0g,0.8g,John West Tuna Chunks in Spring Water,,,,,,,,,,,,,,,,,
178,0.0g,154kcal,6.5g,0.0g,1.9g,0.0g,23.9g,0.20g,Waitrose Albacore Tuna in Spring Water,,,,,,,,,,,,,,,,,
179,0.0g,126kcal,1.0g,,,,29.0g,0.9g,John West Fridge Pot Tuna Steak in Spring Water MSC,,,,,,,,,,,,,,,,,
180,<0.5g,237kcal,17.3g,<0.5g,4.0g,<0.5g,20.1g,0.19g,Essential Mackerel Fillets in Spring Water,,,,,3880mg,,,,,,,,,,,,
181,"<0,5g",204kcal,11g,,"2,1g","<0,5g",27g,"1,0g",Charles Basset White Tuna in Extra Virgin Olive Oil,,,,,,,,,,,,,,,,,
182,<0.5g,184kcal,9.2g,0.0g,2.6g,<0.5g,24.8g,0.48g,Waitrose sardine al limone,,,,,2000mg,,,,,,,,,,,,
183,"<0,5g",138kcal,"4,2g",,"1,2g","<0,5g",25g,"1,0g",Charles Basset White Tuna in Brine,,,,,,,,,,,,,,,,,
184,3.4g,176kcal,11.5g,<0.5g,2.9g,2.1g,14.6g,0.54g,Essential Mackerel Fillets in Spicy Tomato Sauce,,,,,2840mg,,,,,,,,,,,,
185,0.0g,118kcal,1.1g,0.0g,0.4g,0.0g,27.1g,0.63g,Waitrose MSC Tuna Steak in Spring Water,,,,,,,,,,,,,,,,,
186,0.0g,180kcal,8.0g,,,,27.0g,1.0g,John West Tuna Chunks in Sunflower Oil,,,,,,,,,,,,,,,,,
187,"0,0g",302kcal,"22,2g",,"4,0g","0,0g","25,6g","1,7g",Ortiz White Tuna in Olive Oil,,,,,,,,,,,,,,,,,
188,0.0g,153kcal,6.6g,0.0g,1.8g,0.0g,23.5g,0.90g,Essential Wild Pacific Red Salmon,,,,2.0g,,,,,,,,,,,,,
189,Trace,225kcal,15.4g,Trace,3.4g,Trace,21.7g,1.7g,John West Boneless Sardines in Olive Oil,,,,,2.0g,,,,,2.3g,0.7g,,,,,,
190,0.5g,224kcal,13.7g,<0.5g,3.4g,0.0g,24.6g,0.62g,Waitrose sardine piccanti,,,,,2000mg,,,,,,,,,,,,
191,0.0g,199kcal,10.9g,,,,25.2g,1.0g,John West No Drain Tuna Steak in Sunflower Oil,,,,,,,,,,,,,,,,,
192,Trace,260kcal,20.0g,Trace,3.4g),Trace),20.0g,1.0g),John West Mackerel Fillets in Olive Oil,,,,,3.0g),,,,,5.2g),0.4g,,,,,,
193,Trace,131kcal,5.4g,,1.4g,Trace,20.4g,0.9g,John West wild red salmon skinless & boneless,,,,,,,,,,1.7g,,,,,,,
194,1.5g,80kcal,0.5g,0g,0.2g,0.9g,17g,1.2g,Kingfisher Jumbo Crab Meat in Brine,,,,,,,,,,,,,,,,,
195,0.0g,167kcal,5.5g,,,,29.0g,1.0g,John West No Drain Tuna Steak in Olive Oil,,,,,,,,,,,,,,,,,
196,3.1g,148kcal,7.4g,,3.1g,0.2g,17.1g,1.2g,Parmentier Sardines in Tomato Sauce,,,,,,,,,,,,,,,,,
197,0.0g,209kcal,12.3g,0.0g,2.0g,0.0g,24.5g,0.63g,Waitrose MSC Tuna Steak in Olive Oil,,,,,,,,,,,,,,,,,
198,0.8g,241kcal,19g,0g,,,18g,1.0g,King Oscar MSC Sardines with Basil Oregano & Garlic,,,,,2.7g,,,,,,,,,,,,
199,0g,113Kcal,0.5g,,0.2g,0g,27.0g,0.8g,John West Tuna Chunks in Spring Water,,,,,,,,,,,,,,,,,
200,Trace,218kcal,14.0g,Trace,2.6g),Trace),23.0g,1.5g),John West Sardines in Olive Oil,,,,,2.0g),,,,,2.7g),0.6g,,,,,,
201,0.0g,113kcal,0.5g,,,,27.0g,1.0g,John West Tuna Chunks in Brine,,,,,,,,,,,,,,,,,
202,3.6g,132kcal,6.9g,1.1g,2.5g,1.6g,13.2g,1.0g,Glenryck Pilchards in Tomato Sauce,,,,2.3g,2.1g,,,,,,,,,,,,
203,"<0,5g",-204kcal,11g,,"2,1g","<0,5g",27g,"1,0g",Charles Basset White Tuna in Extra Virgin Olive Oil,,,,,,,,,,,,,,,,,
204,0.4g,207kcal,12.3g,3g,0.3g,traces,24.0g,0.78g,Lusso Vita Skinless & Boneless Sardine Fillets in Olive Oil,,,,,,,,,,,,,,,,,
205,0g,233kcal,18g,0g,,,19g,1.0g,King Oscar MSC Sardines with Sliced Manzanilla Olives,,,,,2.6g,,,,,,,,,,,,
206,0.0g,113kcal,0.5g,,,,27.0g,1.0g,John West Tuna Chunks in Brine,,,,,,,,,,,,,,,,,
207,5.6g,154kcal,8.1g,0.9g,2.0g,1.6g,14.3g,1.4g,Princes Sardine & Tomato Paste,,,,,1.6g,,,,,,,,,,,,
208,0g,238Kcal,17.9g,,3.6g,0g,19.1g,1.5g,John West Kipper Fillets in Sunflower Oil,,,,4.2g,,,,,,,,,,,,,
209,6.0g,202kcal,13.9g,0.5g,2.1g,0.4g,12.9g,1.2g,Princes Salmon Paste,,,,,1.0g,,,,,,,,,,,,
210,Trace,226kcal,16.0g,Trace,3.6g,Trace,20.4g,1.0g,John West Steamed Mackerel Fillets,,,,,3.5g,,,,,4.0g,0.4g,,,,,,
211,2.7g,180kcal,12.1g,<0.5g,2.7g,2.6g,14.9g,0.29g,Essential Mackerel Fillets in Tomato Sauce,,,,,2490mg,,,,,,,,,,,,
212,0g,229Kcal,15g,,3.5g,0g,23.5g,1.2g,Parmentier Sardines in Oil with Herbs de Provence,,,,,,,,,,,,,,,,,
213,0g,180Kcal,8.0g,,1.0g,0g,27.0g,1.0g,John West Tuna Chunks in Sunflower Oil,,,,,,,,,,,,,,,,,
214,0g,131kcal,5.4g,,1.1g,0g,20.4g,0.9g,John West Pink Salmon,,,,1.1g,,,,,,,,7.5µg,,,,,
215,0.0g,167kcal,5.5g,,,,29.0g,1.0g,John West Fridge Pot Tuna Steak in Sunflower Oil MSC,,,,,,,,,,,,,,,,,
216,0.0g,116kcal,3.5g,0.0g,0.7g,0.0g,21.0g,0.75g,Essential Wild Red Salmon Skinless & Boneless,,,,,537mg,,,,,,,,,,,,
217,0g,229Kcal,15g,,3g,0g,23.5g,1.2g,Parmentier Sardines in Oil and Chilli,,,,,,,,,,,,,,,,,
218,6.9g,305kcal,24.2g,,11.9g,0.2g,14.8g,9.5g,Patum Peperium anchovy relish,,,,,,,,,,,,,,,,,
219,0.0g,180kcal,8.0g,,,,27.0g,1.0g,John West Tuna Chunks in Sunflower Oil,,,,,,,,,,,,,,,,,
220,5.5g,196kcal,14g,,,,12g,1.0g,John West Mackerel Fillets TomatoChilli,,,,,1.9g,,,,,,,,,,,,
221,Trace,218kcal,14.0g,Trace,2.9g,Trace,23.0g,1.5g,John West Sardines in Sunflower Oil,,,,,2.0,,,,,4.9g,0.6g,,,,,,
222,Trace,84kcal,4.0g,,0.8g,Trace,12.0g,0.2g,John West Soft Cod Roes,,,,,,,,,,,,,,,,,
223,10.0g,230kcal,14.0g,Trace,3.1g,Trace,16.0g,0.7g,John West Smoked Mussels in Sunflower Oil,,,,,,,,,,,0.3g,,,,,,
224,0g,260kcal,20g,,,,20g,1.0g,John West Mackerel Fillets in Sunflower Oil,,,,,,,,,,,,,,,,,
225,3.0g,189kcal,13.0g,Trace,2.7g,2.4g,15.0g,1.2g,John West Skippers in Tomato Sauce,,,,,1.4g,,,,,2.5g,0.5g,,,,,,
226,0.8g,253kcal,19g,0g,,,19g,1.5g,King Oscar MSC Sardines with Pepper Garlic & Chilli,,,,,2.8g,,,,,,,,,,,,
227,28.0g,279kcal,16.9g,,1.1g,24.8g,2.9g,0.01g,John Ross Original Dill Sauce,,,,,,,,,,,,,,,,,
228,"3,9g",185kJ,11g,,"7,6g",0g,"17,7g",18g,Lusso Vita anchovy paste,,,,,,,,,,,,,,,,,
229,Trace,225kcal,15.4g,Trace,3.9g,Trace,21.7g,1.7g,John West Boneless Sardines in Sunflower Oil,,,,,2.4g,,,,,7.4g,0.7g,,,,,,
230,0.4g,207kcal,12.3g,3g,0.3g,traces,24.0g,0.78g,Lusso Vita Sardine Fillets in Olive Oil & Lemon,,,,,,,,,,,,,,,,,
231,0g,100kcal,2.0g,,0.4g,0g,20.4g,0.9g,John West Skinless & Boneless Wild Pink Salmon,,,,0.6g,,,,,,,,7.5µg,,,,,
232,0.0g,113kcal,0.8g,,,,26.6g,1.0g,John West No Drain Tuna Steak in Brine,,,,,,,,,,,,,,,,,
233,0g,1972kcal,"46,6g",,"7,7g",0g,"14,6g","9,5g",Lusso Vita Anchovy Fillets in Olive Oil,,,,,,,,,,,,,,,,,
234,0g,151kcal,7.8g,,1.6g,0g,20.4g,0.9g,John West wild red salmon,,,,1.8g,,,,,,,,,,,,,
235,9.4g,194kcal,11.9g,,2.0g,0.5g,12.2g,1.13g,Shippams salmon spread,,,,,,,,,,,,,,,,,
236,0g,85kcal,4.5g,,1.0g,0g,10g,7.0g,Spinnaker lumpfish caviar,,,,,,,,,,,,,,,,,
237,Trace,281kcal,22.9g,Trace,4.5g,Trace,18.8g,1.0g,John West Steamed Mackerel Fillets in Olive Oil,,,,,3.3g,,,,,4.4g,0.4g,,,,,,
238,4.7g,98kcal,1.8g,,0.3g,0.2g,15.2g,0.83g,Shippam's crab spread,,,,,,,,,,,,,,,,,
239,0.0g,126kcal,1.0g,,,,29.0g,1.0g,John West No Drain Tuna Steak in Brine,,,,,,,,,,,,,,,,,
240,<0.5g,278kcal,21.3g,<0.5g,4.3g,<0.5g,21.3g,0.25g,Essential Mackerel Fillets in Olive Oil,,,,,2720mg,,,,,,,,,,,,
241,0g,113Kcal,0.5g,,0.2g,0g,27.0g,1.0g,John West Tuna Chunks in Brine,,,,,,,,,,,,,,,,,
242,<2,168kcal,"8,0g",,"1,4g",<1,"23,0g","1,3g",Palacio de Oriente Squid Pieces in Olive Oil,,,,,,,,,,,,,,,,,
243,10g,96kcal,1.9g,2.4g,0.3g,4.3g,8.5g,0.8g,John West Light Lunch Mediterranean Style Tuna Salad,,,,,,,,,,,,,,,,,
244,0g,85kcal,4.5g,,1.0g),0g),10g,5.5g,Elsinore Lumpfish Caviar,,,,,,,,,,,,,,,,,
245,Trace,243kcal,19.0g,Trace,3.6g),Trace),18.0g,1.2g),John West Skippers in Sunflower Oil,,,,,1.3g),,,,,3.2g),0.5g,,,,,,
246,0.4g,207kcal,12.3g,3g,0.3g,traces,24.0g,0.78g,Lusso Vita Sardine Fillets in Olive Oil & Chilli,,,,,,,,,,,,,,,,,
247,"4,7g",157kcal,11g,,"1,3g",0g,"9,8g","1,7g",Palacio de Oriente Squid Pieces in Salsa Negra,,,,,,,,,,,,,,,,,
248,18g,219kcal,11g,,,,12g,1.3g,John West Mackerel Fillets Sweet Chilli Sauce,,,,,,,,,,,,,,,,,
249,6.8g,241kcal,18g,,,,13g,1.0g,John West Mackerel Fillets in Thai Curry Sauce,,,,,1.9g,,,,,,,,,,,,
250,6.5g,89kcal,1.7g,,0.7g,3.1g,12.7g,0.8g,Elsinore Cockles in Vinegar,,,,,,,,,,,,,,,,,
251,0.5g,240kcal,13g,,2.5g),0g),30g,3.5g,Elsinore Salmon Caviar,,,,,,,,,,,,,,,,,
252,9.8g,99kcal,2.8g,2.5g,0.7g,2.3g,7.5g,0.8g,John West Light Lunch French Style Tuna Salad,,,,,,,,,,,,,,,,,
253,0.8g,45kcal,0.6g,0g,0.2g,0.6g,9.2g,1.3g,Kingfisher Shredded Crab Meat,,,,,,,,,,,,,,,,,
254,"6,2g",177kcal,13g,,"1,5g",0g,8.9g,"0,95g",Palacio de Oriente Spanish Mussels in Galician Sauce,,,,,,,,,,,,,,,,,
255,2.5g,210kcal,15.1g,1.0g,3.7g,2.5g,15.0g,0.7g,Lusso Vita Sardines Olive Oil with Sundried Tomato,,,,5.6g,2.1g,,,,,,,,,,,,
256,<0.5g,205kcal,13g,,3.3g,<0.5g,22g,1.0g,Cornish Pilchard Fillets in Extra Virgin Olive Oil,,,,,,,,,,,,,,,,,
257,0.0g,222kcal,13.5g,0.0g,6.5g,0.0g,25.0g,1.90g,Princes Corned Beef,,,,,,,,,,,,,,,,,
258,3.2g,292kcal,24.3g,,9.7g,1.3g,15g,2.4g,Spam Chopped Pork & Ham,,,,,,,,,,,,,,,,,
259,0.0g,222kcal,13.5g,0.0g,6.5g,0.0g,25.0g,1.40g,Princes Corned Beef Reduced Salt,,,,,,,,,,,,,,,,,
260,1.1g,185kcal,9.0g,0.0g,5.0g,1.1g,25.0g,1.40g,Princes Lean Corned Beef,,,,,,,,,,,,,,,,,
261,2.1g,227kcal,17g,,7.2g,1.4g,16g,1.8g,Spam lite Chopped Pork & Ham,,,,,,,,,,,,,,,,,
262,4.8g,138kcal,8.3g,,1.8g,<0.5g,11g,1.20g,Ye Olde Oak 8 Premium Hot Dogs,,,,,,,,,,,,,,,,,
263,3.2g,292kcal,24.3g,,9.7g,1.3g,15g,2.4g,Spam chopped pork & ham,,,,,,,,,,,,,,,,,
264,0.5g,110kcal,4.0g,,1.5g,0.5g,18g,2.19g,Ye Olde Oak Finest Gammon Ham,,,,,,,,,,,,,,,,,
265,3.9g,200kcal,14.1g,0.5g,4.2g,0.1g,14.2g,1.4g,Princes Chicken & Ham Paste,,,,,,,,,,,,,,,,,
266,0.0g,222kcal,13.5g,0.0g,6.5g,0.0g,25.0g,1.90g,Princes Corned Beef,,,,,,,,,,,,,,,,,
267,1.4g,247kcal,21.1g,,8.0g,0.2g,12.8g,2.22g,Ye Olde Oak 8 American Style Gourmet Hot Dogs,,,,,,,,,,,,,,,,,
268,1.4g,176kcal,11.1g,,3.0g,0.3g,17.7g,1.18g,Shippams chicken spread,,,,,,,,,,,,,,,,,
269,2.2g,220kcal,17.0g,0.5g,6.2g,0.1g,14.2g,1.1g,Princes Beef Paste,,,,,,,,,,,,,,,,,
270,3.7g,195kcal,13.0g,,6.2g,0.3g,15.7g,0.78g,Shippam's beef spread,,,,,,,,,,,,,,,,,
271,5.7g,147kcal,8.1g,,3.0g,0.6g,12.0g,2.2g,Ye Olde Oak Ham,,,,,,,,,,,,,,,,,
272,5.2g,136kcal,8.0g,,1.9g,<0.5g,11g,1.29g,Ye Olde Oak 6 American Style Hot Dogs,,,,,,,,,,,,,,,,,
273,23.5g,105kcal,<0.5g,1.9g,0.1g,16.9g,1.0g,0.07g,Essential Prunes in Apple Juice,,,,,,,,,,,,,,,,,
274,8.6g,40kcal,<0.5g,0.7g,0.0g,8.1g,<0.5g,0.09g,Essential Peach Slices in Grape Juice,,,,,,,,,,,,,,,,,
275,12.3g,52kcal,0.0g,0.9g,<0.1g,9.2g,0.1g,0.03g,Essential Pear Quarters in Fruit Juice,,,,,,,,,,,,,,,,,
276,15.4g,65kcal,0.0g,0.8g,0.0g,14.3g,<0.5g,0.0g,Essential Peach Slices in Light syrup,,,,,,,,,,,,,,,,,
277,15g,53kcal,0.1g,1.1g,0.1< g,12g,0.4g,0.1< g,Dole tropical gold pineapple slices,,,,,,,,,,,,,33.5mg,,,,
278,22.0g,104kcal,0.5g,3.8g,0.2g,16.5g,0.8g,0.01g,Essential Prunes in Syrup,,,,,,,,,,,,,,,,,
279,8.6g,40kcal,<0.5g,0.7g,0.0g,8.1g,<0.5g,0.09g,Waitrose Peach Halves in Grape Juice,,,,,,,,,,,,,,,,,
280,9.6g,42kcal,0.1g,0.8g,<0.1g,7.8g,0.2g,0.03g,Essential Apricot Halves in Fruit Juice,,,,,,,,,,,,,,,,,
281,15.9g,69kcal,<0.5g,1.8g,0.0g,12.9g,<0.5g,0.0g,Essential Pear Halves in Light Syrup,,,,,,,,,,,,,,,,,
282,15g,53kcal,0.1g,1.1g,0.1< g,12g,0.4g,0.1< g,Dole tropical gold pineapple chunks,,,,,,,,,,,,,33.5mg,,,,
283,25g,111kcal,0.2g,2.7g,<0.1g,23g,0.7g,0.04g,Nature's Finest Pitted Prunes in Juice,,,,,,,,,,,,,,,,,
284,7.7g,34kcal,0.0g,<0.5g,0.0g,7.7g,0.7g,0.02g,Essential Mandarin Oranges In Fruit Juice,,,,,,,,,,,,,,,,,
285,8.6g,40kcal,<0.5g,0.7g,0.0g,8.1g,<0.5g,0.09g,Essential Peach Slices in Grape Juice,,,,,,,,,,,,,,,,,
286,10g,45kcal,<0.5g,0g,<0.1g,10g,0g,0.02g,Nature's Finest Peach in Juice,,,,,,,,,,,,,,,,,
287,13g,57kcal,<0.2g,0g,<0.2g,13g,0.5g,0.02g,Nature's Finest Mandarin Segments in Juice,,,,,,,,,,,,,,,,,
288,7.8g,37kcal,<0.5g,1.6g,0.0g,7.8g,<0.5g,0.03g,Essential Granny Smith Apple Slices,,,,,,,,,,,,,,,,,
289,18.5g,77kcal,0.0g,0.6g,0.0g,18.5g,0.5g,0.02g,essential Waitrose Black Cherries (in light syrup),,,,,,,,,,,,,,,,,
290,13g,55kcal,<0.5g,1.2g,<0.1g,13g,0g,0.02g,Nature's Finest Pineapple in Juice,,,,,,,,,,,,,,,,,
291,7.2g,33kcal,0.1g,0.7g,Trace,7.2g,0.5g,Trace,Royal Crown Grapefruit Segments in Apple Juice,,,,,,,,,,,,,,,,,
292,13g,49kcal,<0.5g,1g,<0.1g,13g,0g,0.02g,Nature's Finest Tropical Fruit in Juice,,,,,,,,,,,,,,,,,
293,10g,45kcal,<0.5g,0g,<0.1g,10g,0g,0.02g,Nature's Finest Peach in Juice,,,,,,,,,,,,,,,,,
294,21g,98kcal,Trace,2.85g,,,1g,,Baldjis Kalamata Figs in Syrup,,,,,,,,,,,,,,,,,
295,11.4g,67kcal,0.9g,4.3g,0.3g,10.3g,1.1g,0.01g,Essential Summer Fruits in Syrup,,,,,,,,,,,,,,,,,
296,13g,49kcal,<0.5g,1g,<0.1g,13g,0g,0.02g,Nature's Finest Tropical Fruit Salad in Juice,,,,,,,,,,,,,,,,,
297,11g,49kcal,<0.5g,1.5g,<0.1g,11g,<0.5g,0.02g,Nature's Finest Pear Slices in Juice,,,,,,,,,,,,,,,,,
298,9.6g,42kcal,<0.5g,0.8g,0.0g,7.8g,<0.5g,0.03g,Essential Apricot Halves in Fruit Juice,,,,,,,,,,,,,,,,,
299,11.8g,51kcal,<0.1g,0.8g,0.0g,11.8g,0.5g,<0.1g,Princes Peach Slices in Juice,,,,,,,,,,,,,,,,,
300,17g,73kcal,0g,0g,0g,16g,0g,0.03g,Nature's Finest Grapefruit in Juice,,,,,,,,,,,,,,,,,
301,10g,44kcal,0.1g,0g,<0.1g,10g,0g,0.06g,Nature's Finest Diced Peach in Juice,,,,,,,,,,,,,,,,,
302,12.1g,53kcal,0.1g,1g,<0.1g,12g,0.5g,<0.1g,Dole fruit in juice pineapple,,,,,,,,,,,,,28.5mg,,,,
303,12g,53kcal,<0.5g,0g,0g,12g,0g,0g,Nature's Finest Mango in Juice,,,,,,,,,,,,,,,,,
304,19.7g,85kcal,0.4g,0.5g,0.1g,13.7g,0.4g,0.01g,Princes Fruit Filling Black Cherry,,,,,,,,,,,,,,,,,
305,20g,80kcal,0g,1.6g,0g,16g,0.8g,0g,Epicure Stoneless Black Cherries in Syrup,,,,,,,,,,,,,,,,,
306,15.4g,66kcal,<0.1g,0.5g,<0.1g,14.7g,0.4g,<0.1g,Dole Mandarins in Fruit Juice,,,,,,,,,,,,,23.8mg,,,,
307,26g,109kcal,<0.5g,,<0.1g,22g,<0.5g,<0.01g,Opies Black Cherries with Kirsch,,,,,,,,,,,,,,,,,
308,12.5g,57kcal,0.2g,1.2g,0g,11g,0.7g,<0.01g,Dole Peaches in Fruit Juice,,,,,,,,,,,,,35mg,,,,
309,13g,54kcal,<0.5g,0g,<0.1g,13g,0g,0.03g,Nature's Finest Mango in Juice,,,,,,,,,,,,,,,,,
310,9.6g,43kcal,0.2g,0.4g,<0.1g,9.1g,0.4g,0.02g,Princes fruit cocktail in light syrup,,,,,,,,,,,,,,,,,
311,12g,57kcal,0.2g,,<0.1g,12g,0.5g,0.02g,Clearspring pureé apple & apricot,,,,,,,,,,,,,,,,,
312,13g,58kcal,0.2g,,<0.1g,12g,0.5g,0.01g,Clearspring pureé apple & blueberry,,,,,,,,,,,,,,,,,
313,14g,63kcal,0.2g,,<0.1g,14g,0.7g,0.01g,Clearspring Fruit Pureé Apple & Mango,,,,,,,,,,,,,,,,,
314,14.0g,60kcal,<0.1g,0.9g,0.0g,14.0g,0.5g,0.02g,Princes Strawberries in Syrup,,,,,,,,,,,,,,,,,
315,12g,53kcal,0.1g,1.1g,<0.1g,12g,0.5g,<0.1g,Dole fruit in juice tropical fruits,,,,,,,,,,,,,23.8mg,,,,
316,12g,56kcal,0.2g,,<0.1g,12g,0.4g,0.01g,Clearspring Pureé Apple & Strawberry,,,,,,,,,,,,,,,,,
317,14g,58kcal,<0.5g,0g,<0.1g,14g,0g,0.03g,Nature's Finest Pineapple in Coconut Water,,,,,,,,,,,,,,,,,
318,10g,45kcal,<0.5g,0g,<0.1g,10g,0g,0.02g,Nature's Finest Juicy Peach in Juice,,,,,,,,,,,,,,,,,
319,13g,58kcal,<0.5g,1.5g,0g,13g,0g,0.02g,Nature's Finest Mango in Coconut Water,,,,,,,,,,,,,,,,,
320,13g,49kcal,<0.5g,1g,<0.1g,13g,0g,0.02g,Nature's Finest Tropical Fruits in Juice,,,,,,,,,,,,,,,,,
321,29g,131kcal,1.1g,0.8g,0.3g,22g,,<0.01g,Opies Red Berries with Pink Gin,,,,,,,,,,,,,,,,,
322,15.0g,97kcal,2.9g,<0.5g,1.5g,10.9g,2.8g,0.11g,Ambrosia Devon Custard,100mg,,,,,,,,,,,,,,,,
323,65g,267kcal,<0.5g,<0.5g,<0.5g,61g,<0.5g,0.02g,Buckwud Organic Canadian Maple Syrup,,,,,,,,,,,,,,,,,
324,15.0g,97kcal,2.9g,<0.5g,1.5g,10.9g,2.8g,0.11g,Ambrosia Devon Custard,100mg,,,,,,,,,,,,,,,,
325,15.5g,99kcal,2.8g,0.0g,1.6g,11.4g,2.9g,0.13g,Ambrosia Devon Custard,106mg,,,,,,,,,,,,,,,,
326,14.8g,96kcal,2.9g,<0.5g,1.5g,10.6g,2.8g,0.11g,Ambrosia Devon Custard,100mg,,,,,,,,,,,,,,,,
327,16.8g,95kcal,1.7g,<0.5g,1.0g,10.0g,3.1g,0.10g,Essential Rice Pudding,,,,,,,,,,,,,,,,,
