,Carbohydrate,Energy,Fat,Fibre,Of which Saturates,Of which Sugars,Protein,Salt,product_name,Calcium,Iron,Magnesium,Of which Polyunsaturated,Omega 3,Potassium,Zinc,Selenium,Vitamin E,Polyunsaturates,Sodium,Vitamin D,Vitamin C,Riboflavin,Vitamin B12,Cholesterol,Of which Trans
328,12.7g,162kcal,9.0g,0.0g,6.0g,12.7g,7.6g,0.30g,Essential Evaporated Milk,,,,,,,,,,,,56% of NRV,,,,,
329,15.8g,96kcal,2.2g,0.0g,1.3g,8.9g,3.2g,0.13g,Ambrosia Rice Pudding,99mg,,,,,,,,,,,,,,,,
330,16.4g,98kcal,2.2g,<0.5g,1.2g,9.2g,3.2g,0.15g,Ambrosia Rice Pudding,90mg,,,,,,,,,,,,,,,,
331,68.5g,296kcal,0.0g,,0.0g,57.4g,5.5g,0.40g,Hartley's Raspberry Jelly,,,,,,,,,,,,,,,,,
332,12.1g,78kcal,2.0g,<0.5g,1.0g,7.4g,2.9g,0.12g,Ambrosia Light Devon Custard,100mg,,,,,,,,,,,,,,,,
333,14.3g,82kcal,1.4g,<0.5g,0.9g,9.8g,3.0g,0.17g,Bird's Custard Powder,,,,,,,,,,,,,,,,,
334,12.1g,78kcal,2.0g,<0.5g,1.0g,7.4g,2.9g,0.12g,Ambrosia Light Devon Custard,100mg,,,,,,,,,,,,,,,,
335,63.0g,253kcal,<0.5g,<0.5g,0.0g,61.5g,0.0g,0.02g,No.1 Canadian Maple Syrup No.1 Medium,,,,,,,,,,,,,,,,,
336,77.5g,1319kJ,0g,,0g,77.5g,0.5g,0.8g,Lyle's Golden Syrup,,,,,,,,,,,,,,,,,
337,15.3g,101kcal,3.2g,0.0g,2.0g,11.5g,2.7g,0.13g,Essential Custard,,,,,,,,,,,,,,,,,
338,12.1g,160kcal,9.0g,0.0g,6.1g,12.1g,7.6g,0.33g,Nestlé Carnation Topping Evaporated Milk,270mg,,,,,,,,,,,2.9µg,,,,,
339,12.1g,78kcal,2.0g,<0.5g,1.0g,7.4g,2.9g,0.12g,Ambrosia Light Devon Custard,100mg,,,,,,,,,,,,,,,,
340,16.3g,101kcal,2.5g,0.0g,1.5g,9.0g,3.3g,0.13g,Ambrosia Rice Pudding,101mg,,,,,,,,,,,,,,,,
341,<0.5g,6kcal,<0.5g,,<0.1g,<0.5g,1.1g,0.07g,Hartley's sugar free jelly raspberry,,,,,,,,,,,,,,,,,
342,68.5g,296kcal,0.0g,,0.0g,57.4g,5.5g,0.50g,Hartley's jelly orange,,,,,,,,,,,,,,,,,
343,68.5g,296kcal,0.0g,,0.0g,57.4g,5.5g,0.4g,Hartley's jelly strawberry,,,,,,,,,,,,,,,,,
344,56.4g,325kcal,8.0g,0.0g,5.4g,56.4g,6.9g,0.23g,Essential Condensed Milk,,,,,,,,,,,,,,,,,
345,91.2g,386kcal,<0.5g,0.0g,0.1g,91.2g,4.8g,0.28g,Cooks' Ingredients Meringue Nests,,,,,,,,,,,,,,,,,
346,18.5g,113kcal,2.9g,0.5g,1.5g,14.3g,3.0g,0.09g,Ambrosia Chocolate Devon Custard,96mg,,,,,,,,,,,,,,,,
347,15.3g,80kcal,0.6g,<0.5g,0.3g,8.0g,3.3g,0.13g,Ambrosia Light Rice Pudding,90mg,,,,,,,,,,,,,,,,
348,11.3g,75kcal,1.7g,1.2g,0.3g,8.2g,3.0g,0.14g,alpro soya dairy free low fat custard,120mg,,,,,,,,,,,0.75µg*,,0.21mg*,0.38µg*,,
349,12.1g,78kcal,2.0g,<0.5g,1.0g,7.4g,2.9g,0.12g,Ambrosia Light Devon Custard,100mg,,,,,,,,,,,,,,,,
350,13.0g,77kcal,1.3g,<0.5g,0.8g,6.0g,3.3g,0.11g,Ambrosia Light Rice Pudding,90mg,,,,,,,,,,,,,,,,
351,63.0g,253kcal,<0.5g,<0.5g,0.0g,61.5g,0.0g,0.02g,Waitrose Duchy Maple Syrup No.1 Medium,,,,,,,,,,,,,,,,,
352,16.2g,118kcal,4.3g,<0.5g,3.2g,13.4g,3.5g,0.51g,Angel Delight Butterscotch Flavour,,,,,,,,,,,,,,,,,
353,57.3g,293kcal,4.1g,0.8g,1.2g,42.2g,3.3g,0.6g,Aunty's Golden Syrup Steamed Puds,,,,,,,,,,,,,,,,,
354,15.4g,100kcal,2.9g,0.0g,1.7g,11.5g,2.9g,0.13g,Ambrosia My Mini Custard,109mg,,,,,,,,,,,0.68mcg,,,,,
355,11.1g,108kcal,4.0g,0.0g,2.7g,11.1g,6.8g,0.30g,Nestlé Carnation Light Evaporated Milk,240mg,,,,,,,,,,,2.9µg,,,,,
356,14.9g,107kcal,3.7g,0.0g,2.2g,8.0g,3.5g,0.10g,Ambrosia Organic Rice Pudding,108mg,,,,,,,,,,,,,,,,
357,13.6g,75kcal,1.9g,<0.5g,1.6g,9.9g,0.8g,0.12g,Bird's instant custard,,,,,,,,,,,,,,,,,
358,52.7g,294kcal,6.0g,1.5g,1.8g,38.9g,4.0g,0.7g,Aunty's Spotted Dick Steamed Puds,,,,,,,,,,,,,,,,,
359,0.2g,2kcal,<0.1g,,<0.1g,0.1g,<0.1g,0.03g,Hartley's 10 Cal Jelly Raspberry,,,,,,,,,,,,,,,,,
360,55.0g,322kcal,8.0g,Nil,5.0g,55.0g,7.5g,0.26g,Nestlé Carnation Drizzle Original,,,,,,,,,,,,,,,,,
361,54.6g,366kcal,14.9g,0.7g,5.3g,37.2g,3.0g,0.48g,Mr Kipling 2 Golden Syrup Sponge Puddings,,,,,,,,,,,,,,,,,
362,0.2g,2kcal,<0.1g,,<0.1g,0.1g,<0.1g,0.04g,Hartley's 10 Cal Jelly Strawberry,,,,,,,,,,,,,,,,,
363,1.0g,5kcal,0.0g,,0.0g,1.0g,0.0g,0.15g,Hartley's Jelly Pot Raspberry No Added Sugar,,,,,,,,,,,,,,,,,
364,55.0g,322kcal,8.0g,0.0g,5.0g,55.0g,7.5g,0.26g,Nestlé Carnation Condensed Milk,260mg,,,,,,,,,,,,,,,,
365,0.2g,3kcal,<0.1g,,<0.1g,<0.1g,<0.1g,0.04g,Hartley's 10 Cal Jelly Mango & Passionfruit,,,,,,,,,,,,,,,,,
366,15.1g,89kcal,1.7g,,1.2g,12.5g,3.3g,0.25g,Green's Carmelle,,,,,,,,,,,,,,,,,
367,12.4g,75kcal,1.6g,0.0g,1.1g,8.5g,2.7g,0.18g,Ambrosia Tapioca,101mg,,,,,,,,,,,,,,,,
368,55.6g,294kcal,4.8g,1.0g,1.7g,37.0g,3.4g,0.6g,Aunty's Sticky Toffee Steamed Puds,,,,,,,,,,,,,,,,,
369,15.8g,114kcal,3.9g,0.5g,2.8g,13.2g,3.7g,0.52g,Angel Delight Chocolate Flavour,,,,,,,,,,,,,,,,,
370,16.2g,120kcal,4.6g,<0.5g,3.4g,13.8g,3.5g,0.48g,Angel Delight Strawberry Flavour,,,,,,,,,,,,,,,,,
371,57.1g,293kcal,4.2g,0.9g,1.2g,42.4g,3.4g,0.6g,Aunty's Ginger Syrup Steamed Puds,,,,,,,,,,,,,,,,,
372,12.7g,80kcal,1.7g,0.1g,1.1g,8.8g,3.3g,0.15g,Ambrosia Semolina,100mg,,,,,,,,,,,,,,,,
373,91.2g,386kcal,<0.5g,0.0g,0.1g,91.2g,4.8g,0.28g,Cooks' Ingredients Mini Eton Mess Meringues,,,,,,,,,,,,,,,,,
374,15.2g,109kcal,4.1g,0.0g,2.3g,11.1g,2.8g,0.13g,Ambrosia Deluxe Custard Vanilla with Clotted Cream,,,,,,,,,,,,,,,,,
375,54.1g,364kcal,14.9g,0.8g,5.3g,35.5g,3.0g,0.40g,Mr Kipling 2 Raspberry Sponge Puddings,,,,,,,,,,,,,,,,,
376,6.5g,29kcal,<0.1g,2.5g,<0.2g,5.0g,<0.5g,<0.1g,Naturelly Juicy Jelly Summer Fruits,,,,,,,,,,,,,,,,,
377,76.8g,314kcal,0.44g,,0g,65.1g,0.75g,0.03g,Lyle's Chocolate Syrup,,,,,,,,,,,,,,,,,
378,1.1g,4kcal,0.0g,,0.0g,<0.1g,<0.1g,0.08g,Hartley's Jelly Pot Strawberry No Added Sugar,,,,,,,,,,,,,,,,,
379,13.5g,83kcal,2.5g,0g,2.3g,10g,0.8g,0.14g,Aunt Bessie's Instant Custard,,,,,,,,,,,,,,,,,
380,7.8g,32kcal,<0.1g,2.5g,<0.1g,5.5g,<0.5g,<0.1g,Naturelly Juicy Jelly Forest Fruits,,,,,,,,,,,,,,,,,
381,14.4g,88kcal,1.7g,0.3g,1.0g,8.7g,3.7g,0.15g,Ambrosia Macaroni,98mg,,,,,,,,,,,,,,,,
382,59.9g,499kcal,25.3g,2.3g,16.3g,20.4g,7.0g,0.25g,Cooks' Ingredients Sweet Pastry Case,,,,,,,,,,,,,,,,,
383,16.3g,101kcal,2.5g,0.0g,1.5g,9.0g,3.3g,0.13g,Ambrosia My Mini Rice,109mg,,,,,,,,,,,0.68mg,,,,,
384,56.2g,301kcal,6.0g,0.0g,3.5g,56.2g,5.5g,0.15g,Nestlé Carnation Caramel,195mg,,,,,,,,,,,,,,,,
385,14.8g,96kcal,2.9g,<0.5g,1.5g,10.6g,2.8g,0.11g,Ambrosia Devon Custard Fridge Pack,100mg,,,,,,,,,,,,,,,,
386,7.1g,31kcal,<0.1g,2.5g,<0.1g,4.5g,<0.5g,<0.1g,Naturelly Juicy Jelly Tropical Fruits,,,,,,,,,,,,,,,,,
387,52.8g,314kcal,6.2g,2.0g,1.9g,38.2g,4.2g,0.6g,Aunty's Chocolate Steamed Puds,,,,,,,,,,,,,,,,,
388,59.9g,499kcal,25.3g,2.3g,16.3g,20.4g,7.0g,0.25g,Cooks' Ingredients 6 Sweet Pastry Cases,,,,,,,,,,,,,,,,,
389,66g,267kcal,0g,,0g,66g,0g,0.03g,Billington's Very Dark Maple Syrup,,,,,,,,,,,,,,,,,
390,61.8g,332kcal,8.6g,0.5g,0.7g,50.2g,1.6g,0.02g,Nestlé Carnation Vegan Condensed Milk Alternative,,,,,,,,,,,,,,,,,
391,16.9g,101kcal,3.5g,,3.1g,15.9g,0.5g,0.06g,Smooze Fruit Ice Coconut & Mango,,,,,,,,,,,,,,,,,
392,,,,,,,,,Vahiné nappage caramel,,,,,,,,,,,,,,,,,
393,55.5g,495kcal,26.2g,2.3g,16.8g,5.6g,8.2g,0.06g,Cooks' Ingredients 18 Tartlet Cases,,,,,,,,,,,,,,,,,
394,64g,257kcal,0g,,0g,64g,0g,0.03g,Billington's Amber Maple Syrup,,,,,,,,,,,,,,,,,
395,53.0g,555kcal,35.0g,,18.0g,13.0g,6.0g,1.0g,Arden & Amici Millefoglie,,,,,,,,,,,,,,,,,
396,7.3g,49kcal,2.0g,<0.5g,1.4g,1.3g,<0.5g,0.49g,Batchelors 4 Cup a Soup Cream of Asparagus,,,,,,,,,,,,,,,,,
397,4.6g,21kcal,<0.5g,<0.5g,0.0g,0.6g,0.6g,0.48g,LOVE life 44 calories cup soup chicken noodle,,,,,,,,,,,,,,,,,
398,5.9g,43kcal,1.7g,<0.5g,1.3g,0.8g,0.8g,0.46g,Batchelors 4 Potato & Leek Cup a Soup,,,,,,,,,,,,,,,,,
399,7.1g,50kcal,2.1g,<0.5g,1.4g,0.7g,0.5g,0.40g,Batchelors 4 Cup a Soup Cream of Vegetable,,,,,,,,,,,,,,,,,
400,19g,141kcal,5.7g,1.2g,2.8g,1.1g,3.2g,0.63g,Pot Noodle Chicken & Mushroom,,,,,,,,,,,,,,,,,
401,14.6g,96kcal,2.6g,1.7g,0.4g,0.5g,2.5g,0.33g,Waitrose Bacon & Onion Potato Sauté,,,,,,,,,,,,,,,,,
402,16.3g,86kcal,1.5g,1.9g,0.2g,<0.5g,0.8g,0.33g,Waitrose Swiss Style Rösti,,,,,,,,,,,,,,,,,
403,16.9g,210kcal,10.7g,2.3g,4.9g,2.8g,10.4g,1.1g,Grant's Premium Haggis,,,,,,,,,,,,,,,,,
404,4.0g,36kcal,2.0g,<0.5g,1.5g,<0.5g,0.6g,0.54g,Batchelors 4 Cup a Soup Chicken,,,,,,,,,,,,,,,,,
405,13.1g,71kcal,0.9g,0.7g,0.2g,2g,2.6g,0.9g,Kabuto Noodles chicken ramen,,,,,,,,,,,,,,,,,
406,6.3g,35kcal,0.7g,<0.5g,0.3g,1.6g,0.6g,0.50g,Batchelors 4 Cup a Soup Minestrone,,,,,,,,,,,,,,,,,
407,8.3g,69kcal,2.5g,0.9g,1.0g,3.0g,2.7g,0.6g,Heinz Big Soup Sausage & Vegetable,,,,,,,,,,,,,,,,,
408,14.5g,155kcal,7.6g,0.5g,3.6g,0.3g,7.0g,0.75g,Fray Bentos Steak & Kidney Pie,,,,,,,,,,,,,,,,,
409,2.7g,103kcal,3.1g,<0.5g,1.3g,<0.5g,16.0g,1.0g,Grant's stewed steak,,,,,,,,,,,,,,,,,
410,7.0g,86kcal,2.7g,1.5g,1.5g,1.7g,7.8g,0.35g,Look what we found! Lamb Hotpot with Sliced Potatoes,,,,,,,,,,,,,,,,,
411,19g,143kcal,5.7g,1.3g,2.8g,1.4g,3.5g,0.55g,Pot Noodle Beef & Tomato,,,,,,,,,,,,,,,,,
412,13.0g,130kcal,5.0g,4.5g,2.6g,3.0g,7.0g,0.90g,Stagg Chili Classic Chili Con Carne,,,,,,,,,,,,,,,,,
413,6.2g,97kcal,3.8g,4.1g,1.6g,3.3g,7.5g,0.53g,Look What We Found! Chilli Con Carne,,,,,,,,,,,,,,,,,
414,0.14g,299kcal,21.8g,,7.6g,0.14g,25.3g,1.9g,Duck Confit Confit de Canard,,,,,,,,,,,,,,,,,
415,16.4g,81kcal,0.5g,1.0g,0.3g,1.0g,2.4g,0.64g,Mug Shot Chicken & Sweetcorn Flavour Noodles,,,,,,,,,,,,,,,,,
416,3.4g,102kcal,6.6g,0.9g,3.0g,2.8g,6.9g,0.33g,Look what we found! beef bolognese,,,,,,,,,,,,,,,,,
417,12.0g,61kcal,1.0g,0.3g,0.7g,2.6g,1.2g,0.3g,Kabuto Rice Noodles Vegetable Laksa,,,,,,,,,,,,,,,,,
418,20.9g,98kcal,0.3g,1.2g,0.2g,4.8g,2.3g,0.35g,Mug Shot Sweet & Sour Flavour Noodles,,,,,,,,,,,,,,,,,
419,12.4g,67.1kcal,0.9g,1.0g,0.2g,1.5g,2.6g,0.8g,Kabuto Noodles miso ramen,,,,,,,,,,,,,,,,,
420,13g,144kcal,6.5g,1.9g,1.0g,5.7g,7.3g,0.96g,John West Creations Salmon with Wild Rice & Lentils,,,,2.4g,,,,,,,,,,,,,
421,13.4g,173kcal,7.8g,,2.7g,0.5g,10.5g,0.85g,Cassoulet au Confit De Canard et à la Saucisse de Toulouse,,,,,,,,,,,,,,,,,
422,4.5g,31kcal,0.8g,Trace,0.1g,1.5g,1.6g,0.7g,Heinz Weight Watchers Chicken Soup,,,,,,,,,,,,,,,,,
423,18.2g,105kcal,1.7g,0.6g,1.1g,1.2g,3.9g,0.58g,Mug Shot Macaroni Cheese Pasta,,,,,,,,,,,,,,,,,
424,16.0g,87kcal,1.2g,1.0g,0.6g,0.6g,2.5g,0.61g,Mug Shot Thai Style Noodles,,,,,,,,,,,,,,,,,
425,22.7g,214kcal,11.0g,0.8g,5.1g,0.5g,6.6g,1.22g,Fray Bentos Steak & Kidney Pudding,,,,,,,,,,,,,,,,,
426,15.0g,143kcal,6.6g,0.6g,3.8g,0.4g,5.5g,0.81g,Fray Bentos Steak & Gravy Pie,,,,,,,,,,,,,,,,,
427,16.8g,185kcal,10.8g,0.8g,4.9g,1.7g,4.7g,0.70g,Fray Bentos Cheese & Onion Pie,,,,,,,,,,,,,,,,,
428,13g,165kcal,8.6g,2.5g,1.2g,4.0g,7.6g,0.84g,John West Creations Salmon with Giant Couscous & Lentils,,,,2.6g,,,,,,,,,,,,,
429,5.8g,90kcal,4.6g,0.6g,1.9g,1.7g,6.3g,0.8g,Grant's minced beef,,,,,,,,,,,,,,,,,
430,,,,,,,,,Grant's chicken curry,,,,,,,,,,,,,,,,,
431,10g,65kcal,0.6g,3.2g,0.1g,3.7g,2.9g,1.2g,Biona Organic Chilli Con Quinoa,,,,,,,,,,,,,,,,,
432,17.3g,131kcal,4.6g,0.7g,0.8g,0.6g,4.7g,0.65g,Fray Bentos Minced Beef & Onion Pie,,,,,,,,,,,,,,,,,
433,8.8g,91kcal,1.7g,2.4g,0.3g,2.3g,8.8g,0.7g,Grants Mexican Chicken Chilli,,,,,,,,,,,,,,,,,
434,17.6g,134kcal,6.2g,1.0g,3.2g,3.2g,2.8g,0.67g,Fray Bentos Vegetable Balti Pie,,,,,,,,,,,,,,,,,
435,11.4g,222kcal,11.3g,0.1g,3.7g,8.3g,13.9g,0.6g,Grant's Pulled Pork in a BBQ Sauce,,,,,,,,,,,,,,,,,
436,69g,351kcal,"1,5g","2,9g","0,3g","3,4g",14g,0g,De Cecco spaghetti,,,,,,,,,,,,,,,,,
437,34g,162kcal,0.5g,1.9g,0.1g,1.4g,5.1g,0.06g,Seeds of Change pasta spinach trottole,,,,,,,,,,,,,,,,,
438,32.8g,160kcal,0.7g,1.4g,0.1g,0.7g,5.0g,0.0g,essential Waitrose penne,,,,,,,,,,,,,,,,,
439,32.8g,160kcal,0.7g,1.4g,0.1g,0.7g,5.0g,0.0g,Essential Fusilli,,,,,,,,,,,,,,,,,
440,32.8g,160kcal,0.7g,1.4g,0.1g,0.7g,5.0g,0.0g,Essential Spaghetti,,,,,,,,,,,,,,,,,
441,"70,2g",352kcal,"1,5g","2,9g","0,3g","3,4g","13,0g","0,01g",De Cecco linguine,,,,,,,,,,,,,,,,,
442,36.0g,163kcal,0.5g,,0.1g,0.1g,3.5g,1.4g,Difatti Gluten Free Plain Gnocchi,,,,,,,,,,,,,,,,,
443,34g,164kcal,0.7g,1.4g,0.1g,1.5g,5.3g,<0.01g,Seeds of Change pasta tortiglioni semi wholewheat,,,,,,,,,,,,,,,,,
444,32.8g,160kcal,0.7g,1.4g,0.1g,0.7g,5.0g,0.0g,Essential Macaroni,,,,,,,,,,,,,,,,,
445,37.5g,191kcal,0.8g,1.8g,0.2g,0.9g,7.4g,0.01g,Waitrose Orzo,,,,,,,,,,,,,,,,,
446,32.8g,160kcal,0.7g,1.4g,0.1g,0.7g,5.0g,0.0g,Essential Lasagne Sheets,,,,,,,,,,,,,,,,,
447,"70,2g",352kcal,"1,5g","2,9g","0,3g","3,4g","13,0g","0,01g",De Cecco pasta penne rigate,,,,,,,,,,,,,,,,,
448,26.2g,135kcal,0.7g,3.9g,0.2g,0.6g,4.0g,0.0g,Waitrose Wholewheat Fusilli,,,,,,,,,,,,,,,,,
449,32.8g,160kcal,0.7g,1.4g,0.1g,0.7g,5.0g,0.0g,Essential Penne,,,,,,,,,,,,,,,,,
450,26.2g,135kcal,0.7g,3.9g,0.2g,0.6g,4.0g,0.0g,Waitrose Wholewheat Spaghetti,,,,,,,,,,,,,,,,,
451,36.0g,163kcal,0.5g,,0.1g,0.1g,3.5g,1.4g,Difatti Gluten Free Spinach Gnocchi,,,,,,,,,,,,,,,,,
452,32.8g,160kcal,0.7g,1.4g,0.1g,0.7g,5.0g,0.0g,Essential Spaghetti,,,,,,,,,,,,,,,,,
453,26.2g,135kcal,0.7g,3.9g,0.2g,0.6g,4.0g,0.0g,Waitrose Wholewheat Penne,,,,,,,,,,,,,,,,,
454,"70,2g",352kcal,"1,5g","2,9g","0,3g","3,4g","13,0g","0,01g",De Cecco fusilli,,,,,,,,,,,,,,,,,
455,66021g %,1550kJ,351g %,3010g %,,12g,16015g %,,Giuseppe Cocco Tagliatelle,,,,,,,,,,,000g %,,,,,1450mg %,08g
456,35.3g,157kcal,<0.5g,0.5g,<0.1g,<0.5g,3.1g,0.13g,Waitrose LoveLife Spaghetti,,,,,,,,,,,,,,,,,
457,41.0g,200kcal,1.7g,1.9g,0.3g,<0.5g,4.1g,0.03g,Waitrose Free From Brown Rice Penne,,,,,,,,,,,,,,,,,
458,35.2g,184kcal,1.7g,1.5g,0.5g,0.6g,6.3g,0.02g,Waitrose Egg Lasagne Sheets,,,,,,,,,,,,,,,,,
459,37.5g,191kcal,0.8g,1.8g,0.2g,0.9g,7.4g,0.0g,Waitrose Linguine,,,,,,,,,,,,,,,,,
460,70.2g,1493kJ,1.5g,2.9g,0.3g,3.4g,13.0g,,De Cecco conchiglie rigate,,,,,,,,,,,0.004g,,,,,,
461,35.2g,184kcal,1.7g,1.5g,0.5g,0.6g,6.3g,0.02g,No.1 Egg Pappardelle,,,,,,,,,,,,,,,,,
462,73.0g,1490kJ,1.5g,,,,13.0g,,De Cecco pasta chifferi rigati,,,,,,,,,,,,,,,,,
463,37.5g,191kcal,0.8g,1.8g,0.2g,0.9g,7.4g,0.01g,Waitrose Farfalle,,,,,,,,,,,,,,,,,
464,"70,2g",352kcal,"1,5g","2,9g","0,3g","3,4g","13,0g","0,01g",De Cecco tortiglioni,,,,,,,,,,,,,,,,,
465,32.8g,160kcal,0.7g,1.4g,0.1g,0.7g,5.0g,0.0g,Essential Fusilli,,,,,,,,,,,,,,,,,
466,35.6g,180kcal,0.8g,2.0g,0.2g,0.7g,6.6g,0.0g,Waitrose 1 Bucatini,,,,,,,,,,,,,,,,,
467,35.3g,157kcal,<0.5g,0.5g,<0.1g,<0.5g,3.1g,0.13g,Waitrose Free From Fusilli,,,,,,,,,,,,,,,,,
468,37.5g,191kcal,0.8g,1.8g,0.2g,0.9g,7.4g,0.01g,Waitrose Conchiglie Rigate,,,,,,,,,,,,,,,,,
469,32.8g,160kcal,0.7g,1.4g,<0.1g,0.7g,5.0g,0g,Duchy Organic Fusilli,,,,,,,,,,,,,,,,,
470,24.4g,163kcal,0.7g,4.5g,<0.1g,0.5g,12.6g,0.03g,Waitrose LOVELife Red Lentil Pasta,,,,,,,,,,,,,,,,,
471,37.5g,191kcal,0.8g,1.8g,0.2g,0.9g,7.4g,0.01g,Waitrose Elicoidali Rigati,,,,,,,,,,,,,,,,,
472,35.6g,180kcal,0.8g,2.0g,0.2g,0.7g,6.6g,0.0g,Waitrose 1 Fusili Bucati,,,,,,,,,,,,,,,,,
473,66021g %,1550kJ,351g %,3010g %,,12g,16015g %,,Giuseppe Cocco Pappardelle,,,,,,,,,,,000g %,,,,,1450mg %,08g
474,30.8g,154kcal,0.8g,0.7g,0.1g,<0.5g,5.5g,0.0g,No.1 Orecchiette,,,,,,,,,,,,,,,,,
475,32g,155kcal,1g,"2,6g",0g,0g,"3,3g","1,28g",De Cecco gnocchi di patate,,,,,,,,,,,,,,,,,
476,36.0g,163kcal,0.5g,,0.1g,0.1g,3.5g,1.4g,Difatti Gluten Free Tomato Gnocchi,,,,,,,,,,,,,,,,,
477,32.8g,160kcal,0.7g,1.4g,0.1g,0.7g,5.0g,0.0g,Waitrose Duchy Penne,,,,,,,,,,,,,,,,,
478,"70,2g",360kcal,"1,5g","3,0g","0,3g","3,4g","13,0g","0,01g",Giuseppe Cocco Spaghetti,,,,,,,,,,,,,,,,,
479,28.6g,153kcal,0.8g,2.9g,0.2g,0.6g,6.5g,<0.01g,Waitrose Wholegrain Spelt Spaghetti,,,,,,,,,,,,,,,,,
480,35.3g,157kcal,<0.5g,0.5g,<0.1g,<0.5g,3.1g,0.13g,Waitrose LoveLife Lasagne Sheets,,,,,,,,,,,,,,,,,
481,73.0gPer 100 gms,1490kJPer 100 gms,1.5gPer 100 gms,,,,13.0gPer 100 gms,,De Cecco farfalle,,,,,,,,,,,,,,,,,
482,24.1g,158kcal,0.9g,5.5g,0.2g,0.7g,10.5g,0.04g,Waitrose LOVELife Green Pea Pasta,,,,,,,,,,,,,,,,,
483,37.5g,191kcal,0.8g,1.8g,0.2g,0.9g,7.4g,0.01g,Waitrose Paglia e Fieno Nests,,,,,,,,,,,,,,,,,
484,"70,2g",352kcal,"1,5g","2,9g","0,3g","3,4g","13,0g","0,01g",De Cecco Spaghetti,,,,,,,,,,,,,,,,,
485,37.5g,191kcal,0.8g,1.8g,0.2g,0.9g,7.4g,0.01g,Waitrose Casarecce,,,,,,,,,,,,,,,,,
486,62g,343kcal,"2,5g","7,5g","0,5g","2,9g","14,5g","0,018g",De Cecco Wholewheat Penne Rigate,,3mg,125mg,,,,,,,,,,,,,,
487,73.0g,1490kJ,1.5g,,,,13.0g,,De Cecco cavatappi,,,,,,,,,,,,,,,,,
488,30.8g,154kcal,0.8g,0.7g,0.1g,<0.5g,5.5g,0.0g,No.1 Trofie,,,,,,,,,,,,,,,,,
489,37.5g,191kcal,0.8g,1.8g,0.2g,0.9g,7.4g,0.01g,Waitrose Fettuccine,,,,,,,,,,,,,,,,,
490,35.6g,180kcal,0.8g,2.0g,0.2g,0.7g,6.6g,0.0g,No.1 Fusillioni,,,,,,,,,,,,,,,,,
491,62.0g,1453kJ,2.5g,7.5g,0.5g,2.9g,14.5g,0.018g,De Cecco Integrale Spaghetti No12,,,,,,,,,,,,,,,,,
492,"70,3g",340kcal,"2,1g","5,3g","0,4g","1,5g","7,2g","0,01g",Maidea Gluten Free Paccheri,,,,,,,,,,,,,,,,,
493,37.5g,191kcal,0.8g,1.8g,0.2g,0.9g,7.4g,0.01g,Waitrose Spaghetti,,,,,,,,,,,,,,,,,
494,37.5g,191kcal,0.8g,1.8g,0.2g,0.9g,7.4g,0.0g,Waitrose Pennoni Rigati,,,,,,,,,,,,,,,,,
495,34.0g,175kcal,1.0g,2.0g,0.3g,0.6g,6.6g,0.01g,Waitrose Mixed Grain Penne,,,,,,,,,,,,,,,,,
496,37.5g,191kcal,0.8g,1.8g,0.2g,0.9g,7.4g,0.01g,Waitrose Fusilli,,,,,,,,,,,,,,,,,
497,37.5g,191kcal,0.8g,1.8g,0.2g,0.9g,7.4g,0.01g,Waitrose Lumache Rigate,,,,,,,,,,,,,,,,,
498,70.3g,340kcal,"2,1g","5,3g",0.4g,"1,5g",7.2g,"0,01g",Maidea Gluten Free Penne Rigate,,,,,,,,,,,,,,,,,
499,,,,,,,,,Giuseppe Cocco Pennette Rigate,,,,,,,,,,,,,,,,,
